ensembl_gene_id,m_measure
gene0,1.10959
gene1,1.62638
gene10,1.91833
gene100,1.54624
gene101,2.26569
gene102,1.61643
gene103,1.05977
gene104,1.1576
gene105,1.51434
gene106,1.71088
gene107,1.40949
gene108,1.63629
gene109,1.87395
gene11,1.12002
gene110,1.55617
gene111,1.00787
gene112,1.51724
gene113,1.40548
gene114,1.88514
gene115,1.43033
gene116,1.20908
gene117,2.37765
gene118,1.95576
gene119,1.6576
gene12,1.3245
gene120,1.00848
gene121,1.76978
gene122,1.06287
gene123,1.09811
gene124,1.7173
gene125,1.0951
gene126,1.37276
gene127,1.07317
gene128,2.36341
gene129,1.44487
gene13,1.01419
gene130,1.11764
gene131,1.13477
gene132,1.88482
gene133,1.03618
gene134,1.38391
gene135,1.20253
gene136,1.3444
gene137,1.03594
gene138,1.07755
gene139,1.98927
gene14,1.37007
gene140,1.987
gene141,1.02897
gene142,1.1105
gene143,1.10644
gene144,1.38986
gene145,1.14476
gene146,1.43937
gene147,1.34418
gene148,1.28856
gene149,1.63773
gene15,1.1636
gene150,1.13783
gene151,1.21665
gene152,1.8428
gene153,1.66237
gene154,1.72368
gene155,1.13844
gene156,1.05338
gene157,1.94116
gene158,1.29911
gene159,1.06942
gene16,1.32037
gene160,1.72539
gene161,1.46257
gene162,1.47245
gene163,1.36032
gene164,1.10355
gene165,1.25832
gene166,1.08889
gene167,1.33883
gene168,1.59599
gene169,1.54934
gene17,1.75781
gene170,1.3105
gene171,1.15583
gene172,1.20645
gene173,1.3077
gene174,1.19524
gene175,1.5415
gene176,1.76427
gene177,1.16678
gene178,1.11196
gene179,1.46227
gene18,2.6011
gene180,1.72797
gene181,1.36579
gene182,1.35139
gene183,1.07648
gene184,1.08988
gene185,1.09645
gene186,1.20806
gene187,1.48346
gene188,1.32137
gene189,1.03559
gene19,1.59713
gene190,1.26925
gene191,2.01262
gene192,1.47214
gene193,1.45507
gene194,1.20105
gene195,1.11769
gene196,1.29606
gene197,1.32025
gene198,2.14528
gene199,1.02677
gene2,2.17203
gene20,1.67313
gene200,1.29249
gene201,1.0949
gene202,1.52753
gene203,1.49413
gene204,1.5177
gene205,2.40352
gene206,1.1382
gene207,1.13075
gene208,1.24942
gene209,1.08699
gene21,1.13684
gene210,2.30183
gene211,1.60691
gene212,1.57975
gene213,1.34567
gene214,1.88903
gene215,1.03702
gene216,1.22393
gene217,1.23587
gene218,1.83215
gene219,1.92996
gene22,1.41152
gene220,1.8732
gene221,1.33135
gene222,1.55966
gene223,1.24546
gene224,2.15425
gene225,1.7181
gene226,1.16473
gene227,1.11126
gene228,1.01928
gene229,1.46995
gene23,1.03069
gene230,1.04882
gene231,1.85376
gene232,1.36452
gene233,1.33117
gene234,2.18325
gene235,1.14943
gene236,2.14247
gene237,1.00804
gene238,1.288
gene239,1.72107
gene24,1.81059
gene240,1.40572
gene241,1.13719
gene242,1.05099
gene243,1.7385
gene244,1.6747
gene245,1.59345
gene246,1.03912
gene247,1.21399
gene248,1.36532
gene249,1.46165
gene25,1.83143
gene250,1.30197
gene251,0.99692
gene252,1.28252
gene253,2.0062
gene254,1.97064
gene255,1.19016
gene256,1.05912
gene257,1.82609
gene258,1.47753
gene259,1.49746
gene26,1.20669
gene260,1.08081
gene261,2.0531
gene262,2.20094
gene263,1.15799
gene264,1.04155
gene265,1.09699
gene266,1.38109
gene267,1.01095
gene268,2.33964
gene269,1.23856
gene27,1.19566
gene270,1.56667
gene271,1.3272
gene272,1.27545
gene273,1.21765
gene274,1.27331
gene275,1.89307
gene276,1.34294
gene277,1.40599
